FullAddress,Latitude,Longitude
"78245, San Antonio, TX",29.39781439999999,-98.7371039
"11229, New York, NY",40.59880769999999,-73.9447994
"8701, Lakewood, NJ",40.0807404,-74.2061931
"60619, Chicago, IL",41.7458012,-87.60876379999999
"90034, Los Angeles, CA",34.0324632,-118.395863
"94110, San Francisco, CA",37.7485824,-122.4184108
"78666, San Marcos, TX",29.8942825,-97.9810845
"30024, Suwanee, GA",34.0514898,-84.0712997
"60610, Chicago, IL",41.9003099,-87.63338710000001
"44107, Lakewood, OH",41.4836446,-81.806039
"75067, Lewisville, TX",33.0067086,-96.99609249999999
"33025, Miramar, FL",25.9906428,-80.2793593
"33411, Royal Palm Beach, FL",26.7083984,-80.2306019
"33139, Miami Beach, FL",25.783312,-80.1484407
"11377, New York, NY",40.74133339999999,-73.90364869999999
"90044, Los Angeles, CA",33.9478802,-118.2935891
"48197, Ypsilanti, MI",42.2411499,-83.61299389999999
"2169, Quincy, MA",42.25136819999999,-70.9962875
"23462, Virginia Beach, VA",36.8400852,-76.1493891
"90805, Long Beach, CA",33.8640647,-118.1766294
"66062, Olathe, KS",38.8271089,-94.7898731
"44035, Elyria, OH",41.3683798,-82.10764859999999
"95630, Folsom, CA",38.6061114,-121.1022942
"90650, Norwalk, CA",33.9170666,-118.0725134
"11234, New York, NY",40.6007956,-73.9065883
"92683, Westminster, CA",33.7531536,-118.0010421
"85710, Tucson, AZ",32.2165669,-110.8195292
"78745, Austin, TX",30.2153869,-97.7960118
"11355, New York, NY",40.7493096,-73.8213213
"10314, New York, NY",40.5952146,-74.1827119
"30281, Stockbridge, GA",33.5494383,-84.20679919999999
"32210, Jacksonville, FL",30.2775931,-81.7239979
"37075, Hendersonville, TN",36.3233083,-86.6006249
"94558, Napa, CA",38.2975381,-122.286865
"11215, New York, NY",40.6681669,-73.9800645
"90026, Los Angeles, CA",34.0796167,-118.2585096
"85225, Chandler, AZ",33.3091946,-111.8210866
"91910, Chula Vista, CA",32.6385134,-117.0617553
"87111, Albuquerque, NM",35.1322706,-106.4994889
"28027, Concord, NC",35.4002721,-80.6548882
"6010, Bristol, CT",41.67176480000001,-72.9492703
"78240, San Antonio, TX",29.5269768,-98.61057029999999
"87114, Albuquerque, NM",35.1958704,-106.6939803
"89108, Las Vegas, NV",36.2030945,-115.2244853
"85308, Glendale, AZ",33.664516,-112.2026347
"11211, New York, NY",40.7093358,-73.9565551
"17603, Lancaster, PA",40.0144597,-76.3289941
"93722, Fresno, CA",36.8353312,-119.8930904
"80134, Parker, CO",39.4626087,-104.7754307
"48180, Taylor, MI",42.2164077,-83.2720082
"85281, Tempe, AZ",33.4195602,-111.9462873
"78577, Pharr, TX",26.1947962,-98.1836216
"94533, Fairfield, CA",38.2493627,-122.0399969
"15601, Greensburg, PA",40.3014581,-79.5389289
"95608, Carmichael, CA",38.6272793,-121.3198491
"43081, Westerville, OH",40.1014036,-82.89636039999999
"44060, Mentor, OH",41.6661573,-81.339552
"80013, Aurora, CO",39.6563415,-104.7637619
"33024, Pembroke Pines, FL",26.0195493,-80.22352269999999
"20906, Silver Spring, MD",39.08168209999999,-77.04493269999999
"33009, Hallandale, FL",25.9812024,-80.14837899999999
"90066, Los Angeles, CA",34.0050173,-118.4338345
"43123, Grove City, OH",39.8762258,-83.05761559999999
"97229, Portland, OR",45.5593978,-122.807445
"76028, Burleson, TX",32.5297156,-97.286868
"91709, Chino Hills, CA",33.959453,-117.7256083
"11385, New York, NY",40.6980708,-73.8948295
"85364, Yuma, AZ",32.7056541,-114.678669
"11373, New York, NY",40.737975,-73.8801301
"14850, Ithaca, NY",42.4439614,-76.5018807
"65807, Springfield, MO",37.1756964,-93.3288183
"98012, Bothell, WA",47.837259,-122.2155192
"77459, Missouri City, TX",29.4773092,-95.5302337
"92677, Laguna Niguel, CA",33.5320292,-117.702148
"95823, Sacramento, CA",38.4603864,-121.43419
"33908, Fort Myers, FL",26.5101373,-81.9425701
"44256, Medina, OH",41.143245,-81.8552196
"2148, Malden, MA",42.4326041,-71.0557196
"60620, Chicago, IL",41.7470143,-87.6679765
"45011, Hamilton, OH",39.4296413,-84.5117321
"76063, Mansfield, TX",32.563183,-97.1416926
"33647, Tampa, FL",28.1446449,-82.3560389
"92804, Anaheim, CA",33.82353,-117.9659037
"60634, Chicago, IL",41.947969,-87.78617109999999
"8753, Toms River, NJ",39.9721576,-74.16545889999999
"65203, Columbia, MO",38.9538484,-92.3714428
"47906, West Lafayette, IN",40.4258686,-86.90806549999999
"98103, Seattle, WA",47.6600087,-122.3425575
"92345, Hesperia, CA",34.3627106,-117.2911248
"75228, Dallas, TX",32.8276924,-96.679851
"92126, San Diego, CA",32.9184763,-117.1382404
"90019, Los Angeles, CA",34.0489277,-118.3403506
"43130, Lancaster, OH",39.7135519,-82.6016435
"60016, Des Plaines, IL",42.0488548,-87.8844309
"46307, Crown Point, IN",41.4169806,-87.3653135
"76244, Fort Worth, TX",32.9458766,-97.27607599999999
"28314, Fayetteville, NC",35.0585989,-79.0532061
"27610, Raleigh, NC",35.7482425,-78.5547283
"89121, Las Vegas, NV",36.1165487,-115.0881146
"29732, Rock Hill, SC",34.9944873,-81.0533854
"75056, The Colony, TX",33.0787106,-96.91018059999999
"30040, Cumming, GA",34.2073196,-84.14019259999999
"30188, Woodstock, GA",34.1280759,-84.44877199999999
"79938, El Paso, TX",31.8403844,-105.92299
"92336, Fontana, CA",34.145515,-117.4673845
"99301, Pasco, WA",46.2305049,-119.0922316
"20011, Washington, DC",38.9515473,-77.02766
"77095, Houston, TX",29.9108312,-95.65631189999999
"91911, Chula Vista, CA",32.6059744,-117.0441009
"77845, College Station, TX",30.6210482,-96.3255016
"92503, Riverside, CA",33.8833867,-117.4438924
"94536, Fremont, CA",37.5641425,-122.004179
"7002, Bayonne, NJ",40.658801,-74.1063776
"27587, Wake Forest, NC",35.9798734,-78.50972279999999
"21740, Hagerstown, MD",39.6417629,-77.71999319999999
"11233, New York, NY",40.6795939,-73.92128579999999
"7302, Jersey City, NJ",40.7218318,-74.0447003
"90280, South Gate, CA",33.954737,-118.2120161
"22191, Woodbridge, VA",38.658172,-77.24970499999999
"19111, Philadelphia, PA",40.0635817,-75.07863569999999
"89117, Las Vegas, NV",36.1453333,-115.2778317
"87120, Albuquerque, NM",35.1509567,-106.7470536
"43230, Gahanna, OH",40.0388765,-82.8748301
"40475, Richmond, KY",37.748152,-84.29582599999999
"46227, Indianapolis, IN",39.6795709,-86.1319901
"11236, New York, NY",40.63871959999999,-73.8948295
"91730, Rancho Cucamonga, CA",34.0965313,-117.5848025
"23320, Chesapeake, VA",36.7578013,-76.2131474
"74012, Broken Arrow, OK",36.05826630000001,-95.7932008
"90201, Bell, CA",33.96672119999999,-118.1766294
"92592, Temecula, CA",33.43806010000001,-117.0087877
"32244, Jacksonville, FL",30.2102306,-81.7458845
"21117, Owings Mills, MD",39.4195499,-76.7802528
"92109, San Diego, CA",32.7920948,-117.2323367
"34787, Winter Garden, FL",28.5652787,-81.58618469999999
"77450, Cinco Ranch, TX",29.7388418,-95.7580048
"92101, San Diego, CA",32.7269669,-117.1647094
"32822, Orlando, FL",28.4750405,-81.2849169
"30080, Smyrna, GA",33.8806897,-84.5064881
"7093, West New York, NJ",40.7889063,-74.01618119999999
"60626, Chicago, IL",42.0099321,-87.663045
"90004, Los Angeles, CA",34.0748887,-118.3082034
"28078, Huntersville, NC",35.41107,-80.84271199999999
"34135, Bonita Springs, FL",26.3582748,-81.7458845
"90706, Bellflower, CA",33.8822393,-118.1239717
"48103, Ann Arbor, MI",42.24758629999999,-83.8260884
"30062, Marietta, GA",33.9957883,-84.46976629999999
"33186, The Crossings, FL",25.6630546,-80.4073392
"30052, Loganville, GA",33.8389977,-83.90073819999999
"30041, Cumming, GA",34.2073196,-84.14019259999999
"75217, Dallas, TX",32.7099886,-96.6745042
"33012, Hialeah, FL",25.8641207,-80.30459669999999
"30331, Atlanta, GA",33.69856499999999,-84.54318669999999
"11372, New York, NY",40.7527924,-73.8801301
"32256, Jacksonville, FL",30.2205397,-81.5537192
"34711, Clermont, FL",28.5366442,-81.71305219999999
"60649, Chicago, IL",41.7597921,-87.56430399999999
"92335, Fontana, CA",34.08378700000001,-117.4673845
"37130, Murfreesboro, TN",35.8807375,-86.317392
"23454, Virginia Beach, VA",36.8653194,-76.0507949
"38401, Columbia, TN",35.6150716,-87.0352831
"92021, El Cajon, CA",32.8324351,-116.8792553
"48185, Westland, MI",42.3358116,-83.3842808
"93065, Simi Valley, CA",34.2774306,-118.7897558
"91342, Los Angeles, CA",34.3023759,-118.3695699
"44130, Parma Heights, OH",41.39005179999999,-81.7595769
"95747, Roseville, CA",38.7902545,-121.3770336
"32218, Jacksonville, FL",30.4686832,-81.6692532
"95123, San Jose, CA",37.2374847,-121.8277925
"43026, Hilliard, OH",40.01616,-83.1756188
"20019, Washington, DC",38.8910932,-76.94702199999999
"22193, Woodbridge, VA",38.6418278,-77.3439283
"45840, Findlay, OH",41.0391283,-83.6502309
"80634, Greeley, CO",40.3962637,-104.7871004
"2155, Medford, MA",42.4274971,-71.10920120000002
"92627, Costa Mesa, CA",33.6496252,-117.9190418
"85705, Tucson, AZ",32.2745229,-110.9864294
"20878, Gaithersburg, MD",39.10480320000001,-77.25201009999999
"30022, Johns Creek, GA",34.029613,-84.238417
"23666, Hampton, VA",37.0538822,-76.39845369999999
"2360, Plymouth, MA",41.8804637,-70.645473
"33064, Pompano Beach, FL",26.2778269,-80.109357
"20001, Washington, DC",38.912068,-77.0190228
"29072, Lexington, SC",33.9815369,-81.2362107
"11218, New York, NY",40.6483744,-73.9800645
"33027, Miramar, FL",25.9904176,-80.3547286
"89052, Henderson, NV",35.952556,-115.0228736
"90011, Los Angeles, CA",34.007889,-118.2585096
"75206, Dallas, TX",32.8225166,-96.77616859999999
"11223, New York, NY",40.6009233,-73.977126
"32174, Ormond Beach, FL",29.2858129,-81.0558894
"33063, Margate, FL",26.2551386,-80.2042436
"87121, Albuquerque, NM",35.1128064,-106.8650395
"43701, Zanesville, OH",39.9403453,-82.0131924
"90025, Los Angeles, CA",34.0448583,-118.4484367
"72401, Jonesboro, AR",35.8916172,-90.658333
"90027, Los Angeles, CA",34.1220545,-118.2935891
"10701, Yonkers, NY",40.9413523,-73.8713099
"44077, Painesville, OH",41.7244885,-81.245657
"75035, Frisco, TX",33.1541165,-96.76010570000001
"8831, Monroe, NJ",40.3209253,-74.4521504
"77082, Houston, TX",29.7253361,-95.67735119999999
"34953, Port Saint Lucie, FL",27.2420429,-80.38813329999999
"94544, Hayward, CA",37.6270256,-122.0496521
"19124, Philadelphia, PA",40.0149445,-75.0903154
"78641, Leander, TX",30.5390145,-97.9374948
"60616, Chicago, IL",41.8403395,-87.6137011
"97402, Eugene, OR",44.0431493,-123.2259181
"43228, Columbus, OH",39.9571056,-83.1273705
"33313, Lauderhill, FL",26.1514248,-80.22655449999999
"75150, Mesquite, TX",32.824634,-96.6317461
"95051, Santa Clara, CA",37.3598283,-121.9814354
"20147, Ashburn, VA",39.0418129,-77.47444209999999
"55901, Rochester, MN",44.0780552,-92.5098914
"23452, Virginia Beach, VA",36.849734,-76.097201
"91710, Chino, CA",34.0120229,-117.6786847
"91335, Los Angeles, CA",34.2035088,-118.5389414
"35242, Hoover, AL",33.4165524,-86.681253
"30127, Powder Springs, GA",33.8595491,-84.683824
"71913, Hot Springs, AR",34.5077615,-93.05460029999999
"90731, Los Angeles, CA",33.7241323,-118.2643567
"29730, Rock Hill, SC",34.9037259,-81.0092062
"80015, Aurora, CO",39.6288155,-104.7812654
"32225, Jacksonville, FL",30.3658304,-81.49379929999999
"95687, Vacaville, CA",38.3286205,-121.9359339
"27713, Durham, NC",35.890231,-78.9175088
"77840, College Station, TX",30.616559,-96.31197429999999
"30004, Milton, GA",34.17630630000001,-84.2910759
"43068, Reynoldsburg, OH",39.9518394,-82.7886395
"93550, Palmdale, CA",34.3579404,-118.0654445
"11208, New York, NY",40.6749343,-73.8713099
"89123, Las Vegas, NV",36.0357492,-115.1533426
"94509, Antioch, CA",38.0083802,-121.7993168
"80525, Fort Collins, CO",40.5417839,-105.044052
"78501, McAllen, TX",26.2188442,-98.2322355
"48823, East Lansing, MI",42.758734,-84.44877199999999
"63123, Affton, MO",38.5506084,-90.3331719
"40601, Frankfort, KY",38.1950324,-84.8784682
"21215, Baltimore, MD",39.3416271,-76.68169619999999
"29464, Mount Pleasant, SC",32.8234848,-79.8520818
"60622, Chicago, IL",41.9013087,-87.68276759999999
"7087, Union City, NJ",40.773694,-74.0270745
"32828, Orlando, FL",28.5374094,-81.1747498
"77057, Houston, TX",29.7503969,-95.4935119
"23451, Virginia Beach, VA",36.8643566,-75.9985693
"23223, Richmond, VA",37.5621276,-77.3668965
"60615, Chicago, IL",41.8003921,-87.603826
"42101, Bowling Green, KY",36.9685219,-86.4808043
"45601, Chillicothe, OH",39.3331197,-82.9824019
"30135, Douglasville, GA",33.6630087,-84.75244819999999
"27284, Kernersville, NC",36.1322707,-80.0758425
"19446, Lansdale, PA",40.2414952,-75.2837862
"14221, Amherst, NY",42.9734553,-78.713608
"98115, Seattle, WA",47.6849444,-122.2982224
"60641, Chicago, IL",41.9472058,-87.74680710000001
"94122, San Francisco, CA",37.7597481,-122.4750292
"93727, Fresno, CA",36.7486376,-119.7078532
"76116, Fort Worth, TX",32.717251,-97.4435441
"21122, Pasadena, MD",39.12914019999999,-76.4794435
"93536, Lancaster, CA",34.703947,-118.1481016
"93535, Lancaster, CA",34.7311394,-117.8780275
"85251, Scottsdale, AZ",33.4986286,-111.9224398
"60453, Oak Lawn, IL",41.7087701,-87.74680710000001
"33319, Lauderhill, FL",26.1865098,-80.22655449999999
"78249, San Antonio, TX",29.5676137,-98.6050736
"19020, Bensalem, PA",40.09944249999999,-74.9325683
"33321, Tamarac, FL",26.2128609,-80.2497707
"95758, Elk Grove, CA",38.427766,-121.4798948
"60660, Chicago, IL",41.9901263,-87.663045
"93306, Bakersfield, CA",35.4516124,-118.7897558
"73160, Moore, OK",35.3459327,-97.47059349999999
"14580, Webster, NY",43.2122851,-77.4299939
"19720, New Castle, DE",39.6620397,-75.5668166
"89031, North Las Vegas, NV",36.2608162,-115.1711298
"93257, Porterville, CA",36.0651431,-119.0164344
"19120, Philadelphia, PA",40.0380778,-75.1136721
"27707, Durham, NC",35.9530958,-78.9571069
"11204, New York, NY",40.6195067,-73.9859414
"93307, Bakersfield, CA",35.2421103,-118.9761519
"33467, Greenacres, FL",26.5861576,-80.1763467
"22204, Arlington, VA",38.8565647,-77.0967357
"20874, Germantown, MD",39.1348627,-77.2922332
"37128, Murfreesboro, TN",35.7972575,-86.438974
"93309, Bakersfield, CA",35.3515611,-119.0576298
"95035, Milpitas, CA",37.4323341,-121.8995741
"31419, Savannah, GA",31.9708128,-81.15865149999999
"66061, Olathe, KS",38.9071042,-94.8728093
"11219, New York, NY",40.6310753,-73.9976946
"21222, Dundalk, MD",39.2632524,-76.4910093
"60056, Mount Prospect, IL",42.0646736,-87.93838219999999
"27703, Durham, NC",35.9657059,-78.8042828
"85282, Tempe, AZ",33.3897576,-111.9343636
"29223, Columbia, SC",34.1058378,-80.92077370000001
"93230, Hanford, CA",36.3274502,-119.6456844
"72712, Bentonville, AR",36.3840171,-94.21283369999999
"29445, Goose Creek, SC",33.0026132,-79.99759159999999
"75043, Garland, TX",32.8493511,-96.5890166
"33157, Village of Palmetto Bay, FL",25.6085924,-80.3380213
"90802, Long Beach, CA",33.7415317,-118.1941785
"94538, Fremont, CA",37.5042267,-121.9643745
"37064, Franklin, TN",35.9238901,-86.8676866
"98682, Vancouver, WA",45.6585294,-122.4979879
"94541, Hayward, CA",37.6737239,-122.1007867
"95076, Watsonville, CA",36.910231,-121.7568946
"60085, Waukegan, IL",42.3641878,-87.86479609999999
"98133, Shoreline, WA",47.7393027,-122.3435336
"28601, Hickory, NC",35.7655407,-81.32893969999999
"70726, Denham Springs, LA",30.48685639999999,-90.95621249999999
"77007, Houston, TX",29.7765065,-95.4201377
"75002, Allen, TX",33.1044628,-96.642433
"92630, Lake Forest, CA",33.6447519,-117.6845508
"93274, Tulare, CA",36.2077288,-119.3473379
"31907, Columbus, GA",32.4559867,-84.87763919999999
"28216, Charlotte, NC",35.3202223,-80.8875861
"38655, Oxford, MS",34.3659868,-89.5188246
"46143, Greenwood, IN",39.5963318,-86.0835415
"37167, Smyrna, TN",35.96321330000001,-86.5299673
"32792, Goldenrod, FL",28.6102772,-81.2886784
"92647, Huntington Beach, CA",33.7222674,-118.0010421
"31088, Warner Robins, GA",32.590481,-83.624201
"36117, Montgomery, AL",32.3822577,-86.1914604
"37122, Mount Juliet, TN",36.200055,-86.5186054
"32246, Jacksonville, FL",30.3093218,-81.50477719999999
"20020, Washington, DC",38.8641775,-76.98158769999999
"77521, Baytown, TX",29.8120015,-94.9558696
"99208, Spokane, WA",47.7872368,-117.4644801
"77083, Mission Bend, TX",29.697594,-95.6510533
"63021, Ballwin, MO",38.557323,-90.5352356
"11368, New York, NY",40.7506343,-73.8477874
"29681, Simpsonville, SC",34.7692466,-82.2365981
"28205, Charlotte, NC",35.2263714,-80.7990185
"30253, McDonough, GA",33.4471669,-84.1423703
"29485, Summerville, SC",32.95172480000001,-80.1986649
"92104, San Diego, CA",32.7398671,-117.1205925
"92115, San Diego, CA",32.7612759,-117.0735241
"90631, La Habra, CA",33.9318591,-117.946137
"15301, Washington, PA",40.17396,-80.2461714
"6516, West Haven, CT",41.2723527,-72.94981290000001
"27705, Durham, NC",36.025609,-78.9853813
"97045, Oregon City, OR",45.3556099,-122.605853
"1960, Peabody, MA",42.5357932,-70.9665682
"17331, Penn, PA",40.328958,-79.6411537
"32608, Gainesville, FL",29.6156734,-82.3659168
"78758, Austin, TX",30.3870686,-97.70365609999999
"11203, New York, NY",40.6515882,-73.93304289999999
"33511, Brandon, FL",27.9082595,-82.2909146
"63129, Oakville, MO",38.4700532,-90.3045604
"85022, Phoenix, AZ",33.6275483,-112.0595603
"92154, San Diego, CA",32.5967198,-116.9028125
"85204, Mesa, AZ",33.3990327,-111.7972384
"94513, Brentwood, CA",37.931868,-121.6957863
"87124, Rio Rancho, NM",35.2416127,-106.6968553
"78251, San Antonio, TX",29.4651184,-98.6765618
"78741, Austin, TX",30.2259488,-97.7145152
"89110, Las Vegas, NV",36.1678611,-115.0406679
"92646, Huntington Beach, CA",33.6587745,-117.9659037
"94587, Union City, CA",37.5952304,-122.043969
"37040, Clarksville, TN",36.4722803,-87.3612205
"74133, Tulsa, OK",36.0428053,-95.8881542
"98122, Seattle, WA",47.6087583,-122.2964235
"11220, New York, NY",40.6385229,-74.0153231
"30066, Marietta, GA",34.0198844,-84.5117321
"21224, Baltimore, MD",39.2713976,-76.5603828
"28215, Charlotte, NC",35.2413572,-80.7103532
"20852, North Bethesda, MD",39.0542102,-77.1197521
"85142, Queen Creek, AZ",33.2028363,-111.642224
"33458, Jupiter, FL",26.931397,-80.109357
"98632, Longview, WA",46.1381676,-122.9381672
"95355, Modesto, CA",37.6704504,-120.9302603
"83301, Twin Falls, ID",42.5558381,-114.4700518
"75211, Dallas, TX",32.7433629,-96.8887202
"59901, Kalispell, MT",48.1919889,-114.3168131
"95670, Rancho Cordova, CA",38.5961116,-121.2969674
"85345, Peoria, AZ",33.5704697,-112.2503239
"21061, Glen Burnie, MD",39.1648588,-76.6239226
"32765, Oviedo, FL",28.6777437,-81.19679579999999
"92376, Rialto, CA",34.1064001,-117.3703235
"43229, Columbus, OH",40.0862602,-82.98241209999999
"60148, Lombard, IL",41.8725524,-88.0020589
"97401, Eugene, OR",44.0637173,-123.0847061
"37421, Chattanooga, TN",35.041539,-85.1583064
"37066, Gallatin, TN",36.3872073,-86.4523215
"95014, Cupertino, CA",37.31317,-122.0723816
"94568, Dublin, CA",37.70491080000001,-121.9096158
"37027, Brentwood, TN",35.9805462,-86.761749
"45044, Middletown, OH",39.5038205,-84.3939224
"19067, Lower Makefield, PA",40.2186572,-74.8507131
"19134, Philadelphia, PA",39.9863531,-75.1019942
"28210, Charlotte, NC",35.1274285,-80.8599193
"33414, Wellington, FL",26.6374761,-80.2432839
"30263, Newnan, GA",33.3806716,-84.79965729999999
"92105, San Diego, CA",32.7348953,-117.0970596
"28227, Mint Hill, NC",35.1825962,-80.6548882
"45013, Hamilton, OH",39.39886790000001,-84.5587838
"85008, Phoenix, AZ",33.4660406,-112.0118669
"11216, New York, NY",40.6788319,-73.9506774
"70072, Marrero, LA",29.8993723,-90.1003506
"27519, Cary, NC",35.8019588,-78.8948741
"23322, Chesapeake, VA",36.6215976,-76.2247366
"94080, South San Francisco, CA",37.6537343,-122.4083383
"38305, Jackson, TN",35.6684779,-88.7301525
"33433, Boca Raton, FL",26.3510294,-80.15402259999999
"92122, San Diego, CA",32.8563846,-117.2029363
"42701, Elizabethtown, KY",37.7043065,-85.87123849999999
"89074, Henderson, NV",36.0376448,-115.0762536
"89103, Las Vegas, NV",36.1104125,-115.2067011
"77346, Atascocita, TX",29.9997656,-95.1744903
"23455, Virginia Beach, VA",36.8974486,-76.1435915
"14094, Lockport, NY",43.1706128,-78.6903098
"47150, New Albany, IN",38.2856247,-85.8241312
"79924, El Paso, TX",31.8964712,-106.4288088
"30058, Lithonia, GA",33.7123305,-84.1051939
"30047, Lilburn, GA",33.8901036,-84.14297189999999
"12180, Troy, NY",42.7284117,-73.69178509999999
"30101, Acworth, GA",34.0659329,-84.6768796
"33015, Country Club, FL",25.9358702,-80.3268812
"60608, Chicago, IL",41.8492122,-87.6713199
"41042, Florence, KY",38.9803309,-84.6583745
"92648, Huntington Beach, CA",33.6781963,-118.0127534
"55124, Apple Valley, MN",44.74973260000001,-93.19805269999999
"32303, Tallahassee, FL",30.5099431,-84.3647199
"78753, Austin, TX",30.3889868,-97.6710889
"92620, Irvine, CA",33.7073908,-117.7666567
"94112, San Francisco, CA",37.72254909999999,-122.4410618
"37129, Murfreesboro, TN",35.9173416,-86.4490926
"90640, Montebello, CA",34.0149091,-118.1064156
"78759, Austin, TX",30.401356,-97.7525352
"48439, Grand Blanc, MI",42.9275277,-83.6299518
"89148, Las Vegas, NV",36.0612353,-115.2896852
"78254, San Antonio, TX",29.5330493,-98.78116449999999
"33141, Miami Beach, FL",25.8535635,-80.1484407
"95112, San Jose, CA",37.3456227,-121.8847222
"78664, Round Rock, TX",30.5041381,-97.6602365
"96815, Honolulu, HI",21.2700357,-157.8182298
"94087, Sunnyvale, CA",37.3492097,-122.0326019
"98208, Seattle Hill-Silver Firs, WA",47.8743405,-122.1707751
"19148, Philadelphia, PA",39.9120596,-75.14870069999999
"7305, Jersey City, NJ",40.7008528,-74.0887576
"32825, Orlando, FL",28.5417016,-81.2408689
"53704, Madison, WI",43.1438143,-89.35114949999999
"1201, Pittsfield, MA",42.4500845,-73.2453824
"20904, Silver Spring, MD",39.0533891,-76.9758274
"95648, Lincoln, CA",38.891565,-121.2930079
"84404, Ogden, UT",41.2185625,-111.97051
"59102, Billings, MT",45.78888569999999,-108.5908853
"8759, Manchester, NJ",39.9549152,-74.3822058
"77070, Houston, TX",29.9811013,-95.5675483
"2151, Revere, MA",42.4224283,-70.9962875
"19131, Philadelphia, PA",39.9915379,-75.21873459999999
"96706, Ewa Beach, HI",21.3123894,-158.0100917
"78209, San Antonio, TX",29.4854054,-98.4513272
"75204, Dallas, TX",32.799475,-96.78687939999999
"39759, Starkville, MS",33.4503998,-88.81838719999999
"95125, San Jose, CA",37.2909813,-121.8904136
"33436, Boynton Beach, FL",26.5114554,-80.109357
"90036, Los Angeles, CA",34.0664817,-118.3520389
"97124, Hillsboro, OR",45.5442824,-122.9521023
"54601, La Crosse, WI",43.8041647,-91.15449629999999
"33463, Greenacres, FL",26.6064003,-80.1316927
"29579, Forestbrook, SC",33.7223935,-78.9580872
"33021, Hollywood, FL",26.0197012,-80.1819268
"33324, Plantation, FL",26.1076663,-80.2711588
"6511, New Haven, CT",41.3212912,-72.9283391
"7047, North Bergen, NJ",40.8053731,-74.0241367
"92562, Murrieta, CA",33.5612623,-117.2105183
"98034, Kirkland, WA",47.71481259999999,-122.2031264
